contact_id,customer_id,contact_datetime,first_response_datetime,response_time_min,converted,contact_source_type,customer_type,product_id,product_category,product_subcategory,product_collection,is_payday_period,is_peak_season
A_C0066,A_U0295,2025-10-11 15:29:00,2025-10-15 01:18:00,4909,0,general_contact,one_time,P0004,retro_consoles,caseover_console,unknown,0,0
A_C0067,A_U0146,2025-08-17 18:27:00,2025-08-20 17:56:00,4289,0,product_page,two_times,P0020,kits_and_bundles,unknown,unknown,0,0
A_C0068,A_U0088,2025-12-26 16:20:00,2025-12-26 18:21:00,121,0,product_page,lead,P0051,other_accessories,phone_cases,cars,1,1
A_C0069,A_U0358,2025-12-15 20:34:00,2025-12-16 00:44:00,250,0,product_page,lead,P0022,earphones,unknown,unknown,0,1
A_C0070,A_U0254,2025-03-26 13:28:00,2025-03-29 15:19:00,4431,0,product_page,one_time,P0022,earphones,unknown,unknown,1,0
A_C0071,A_U0227,2025-08-19 10:13:00,2025-08-19 10:44:00,31,1,general_contact,vip,P0012,car_accessories,unknown,unknown,0,0
A_C0072,A_U0018,2025-09-13 21:20:00,2025-09-14 13:35:00,975,1,product_page,vip,P0016,cameras_and_accessories,unknown,unknown,0,1
A_C0073,A_U0313,2025-10-18 12:28:00,2025-10-18 17:58:00,330,0,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0074,A_U0253,2025-03-27 15:19:00,2025-03-28 00:18:00,539,1,product_page,vip,P0024,earphones,unknown,unknown,1,0
A_C0075,A_U0045,2025-03-09 22:19:00,2025-03-10 07:47:00,568,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0076,A_U0201,2025-02-01 11:23:00,2025-02-04 01:08:00,3705,0,general_contact,lead,P0047,other_accessories,phone_cases,personalized_cases,1,0
A_C0077,A_U0311,2025-04-05 14:42:00,2025-04-07 23:07:00,3385,0,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0078,A_U0113,2025-11-21 15:46:00,2025-11-21 16:27:00,41,1,product_page,two_times,P0060,other_accessories,phone_cases,women,0,1
A_C0079,A_U0027,2025-06-16 19:21:00,2025-06-17 08:23:00,782,0,product_page,lead,P0009,car_accessories,unknown,unknown,0,0
A_C0080,A_U0276,2025-11-22 19:31:00,2025-11-23 03:03:00,452,1,product_page,two_times,P0018,kits_and_bundles,unknown,unknown,0,1
A_C0081,A_U0110,2025-12-23 20:37:00,2025-12-24 02:29:00,352,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,1
A_C0082,A_U0028,2025-04-07 10:49:00,2025-04-07 12:20:00,91,1,general_contact,two_times,P0013,cameras_and_accessories,unknown,unknown,0,0
A_C0083,A_U0244,2025-09-18 20:39:00,2025-09-22 17:58:00,5599,0,product_page,one_time,P0007,retro_consoles,caseover_projector,unknown,0,1
A_C0084,A_U0263,2025-06-17 18:18:00,2025-06-17 19:17:00,59,1,product_page,one_time,P0010,car_accessories,unknown,unknown,0,0
A_C0085,A_U0051,2025-07-02 12:15:00,2025-07-03 00:26:00,731,0,product_page,one_time,P0006,retro_consoles,caseover_projector,unknown,1,0
A_C0086,A_U0249,2025-08-25 22:11:00,2025-08-25 23:46:00,95,1,product_page,vip,P0057,other_accessories,phone_cases,women,1,0
A_C0087,A_U0242,2025-12-26 08:00:00,2025-12-26 09:51:00,111,1,product_page,lead,P0050,other_accessories,phone_cases,cars,1,1
A_C0088,A_U0304,2025-11-02 08:36:00,2025-11-05 16:57:00,4821,0,general_contact,vip,P0016,cameras_and_accessories,unknown,unknown,1,1
A_C0089,A_U0244,2025-06-02 08:42:00,2025-06-02 12:08:00,206,0,general_contact,one_time,unknown,unknown,unknown,unknown,1,0
A_C0090,A_U0311,2025-09-07 18:09:00,2025-09-07 18:50:00,41,1,product_page,two_times,P0027,other_accessories,airpods_cases,unknown,0,1
A_C0091,A_U0026,2025-01-10 16:37:00,2025-01-11 02:19:00,582,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0092,A_U0047,2025-11-24 12:05:00,2025-11-26 19:34:00,3329,0,product_page,lead,P0005,retro_consoles,caseover_projector,unknown,0,1
A_C0093,A_U0134,2025-01-17 12:36:00,2025-01-17 20:37:00,481,0,general_contact,lead,unknown,unknown,unknown,unknown,0,0
A_C0094,A_U0242,2025-10-19 12:41:00,2025-10-19 13:18:00,37,1,product_page,lead,P0028,other_accessories,airpods_cases,unknown,0,0
A_C0095,A_U0136,2025-09-22 22:13:00,2025-09-22 23:07:00,54,1,product_page,lead,P0017,kits_and_bundles,unknown,unknown,0,1
A_C0096,A_U0229,2025-01-17 10:28:00,2025-01-17 20:21:00,593,0,product_page,one_time,P0012,car_accessories,unknown,unknown,0,0
A_C0097,A_U0036,2025-12-24 17:31:00,2025-12-24 18:09:00,38,0,general_contact,lead,unknown,unknown,unknown,unknown,0,1
A_C0098,A_U0100,2025-08-14 21:39:00,2025-08-16 22:34:00,2935,0,product_page,lead,P0001,retro_consoles,caseover_console,unknown,0,0
A_C0099,A_U0268,2025-09-16 13:42:00,2025-09-16 14:38:00,56,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,1
A_C0100,A_U0238,2025-05-23 09:15:00,2025-05-26 11:23:00,4448,0,general_contact,lead,P0048,other_accessories,phone_cases,personalized_cases,0,0
A_C0101,A_U0084,2025-08-16 09:06:00,2025-08-16 16:00:00,414,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0102,A_U0129,2025-11-19 20:04:00,2025-11-20 04:20:00,496,0,general_contact,lead,P0019,kits_and_bundles,unknown,unknown,0,1
A_C0103,A_U0150,2025-06-22 08:21:00,2025-06-22 22:02:00,821,1,product_page,vip,P0017,kits_and_bundles,unknown,unknown,0,0
A_C0104,A_U0144,2025-06-17 10:39:00,2025-06-17 21:40:00,661,0,product_page,vip,P0022,earphones,unknown,unknown,0,0
A_C0105,A_U0106,2025-10-08 16:30:00,2025-10-09 07:30:00,900,1,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0106,A_U0223,2025-08-11 16:28:00,2025-08-11 20:12:00,224,0,product_page,two_times,P0005,retro_consoles,caseover_projector,unknown,0,0
A_C0107,A_U0042,2025-05-21 13:43:00,2025-05-23 05:59:00,2416,0,product_page,two_times,P0039,other_accessories,phone_cases,all_phone_cases,0,0
A_C0108,A_U0073,2025-11-26 08:36:00,2025-11-26 10:08:00,92,1,general_contact,lead,P0008,retro_consoles,caseover_projector,unknown,1,1
A_C0109,A_U0095,2025-01-26 10:09:00,2025-01-26 17:12:00,423,0,general_contact,one_time,P0012,car_accessories,unknown,unknown,1,0
A_C0110,A_U0164,2025-08-16 08:57:00,2025-08-19 17:48:00,4851,0,product_page,lead,P0004,retro_consoles,caseover_console,unknown,0,0
A_C0111,A_U0255,2025-12-24 09:15:00,2025-12-24 09:29:00,14,1,product_page,two_times,P0002,retro_consoles,caseover_console,unknown,0,1
A_C0112,A_U0348,2025-05-19 12:27:00,2025-05-19 12:56:00,29,1,product_page,lead,P0005,retro_consoles,caseover_projector,unknown,0,0
A_C0113,A_U0064,2025-06-07 22:03:00,2025-06-07 23:48:00,105,1,product_page,vip,P0014,cameras_and_accessories,unknown,unknown,0,0
A_C0114,A_U0121,2025-11-11 11:07:00,2025-11-11 12:44:00,97,1,product_page,vip,P0019,kits_and_bundles,unknown,unknown,0,1
A_C0115,A_U0017,2025-01-11 16:29:00,2025-01-13 01:19:00,1970,1,product_page,two_times,P0005,retro_consoles,caseover_projector,unknown,0,0
A_C0116,A_U0347,2025-10-15 15:02:00,2025-10-15 15:13:00,11,1,product_page,lead,P0015,cameras_and_accessories,unknown,unknown,0,0
A_C0117,A_U0350,2025-01-01 10:05:00,2025-01-02 03:04:00,1019,1,product_page,one_time,P0019,kits_and_bundles,unknown,unknown,1,0
A_C0118,A_U0293,2025-09-19 21:14:00,2025-09-20 04:23:00,429,0,product_page,lead,P0059,other_accessories,phone_cases,women,0,1
A_C0119,A_U0338,2025-11-22 19:03:00,2025-11-23 06:55:00,712,1,general_contact,two_times,P0016,cameras_and_accessories,unknown,unknown,0,1
A_C0120,A_U0155,2025-10-24 22:39:00,2025-10-24 23:09:00,30,1,product_page,two_times,P0010,car_accessories,unknown,unknown,0,0
A_C0121,A_U0239,2025-12-16 15:01:00,2025-12-17 08:22:00,1041,0,product_page,lead,P0024,earphones,unknown,unknown,0,1
A_C0122,A_U0250,2025-04-23 17:45:00,2025-04-23 20:56:00,191,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0123,A_U0203,2025-12-07 17:19:00,2025-12-11 13:57:00,5558,1,product_page,vip,P0059,other_accessories,phone_cases,women,0,1
A_C0124,A_U0230,2025-12-11 11:34:00,2025-12-11 12:14:00,40,1,product_page,one_time,P0021,earphones,unknown,unknown,0,1
A_C0125,A_U0026,2025-05-24 16:50:00,2025-05-24 17:28:00,38,0,general_contact,lead,P0034,other_accessories,chargers_and_others,unknown,0,0
A_C0126,A_U0109,2025-02-27 12:37:00,2025-03-02 19:10:00,4713,1,product_page,one_time,P0015,cameras_and_accessories,unknown,unknown,1,0
A_C0127,A_U0326,2025-11-09 18:12:00,2025-11-09 18:26:00,14,0,product_page,vip,P0008,retro_consoles,caseover_projector,unknown,0,1
A_C0128,A_U0254,2025-10-21 19:30:00,2025-10-24 22:52:00,4522,0,general_contact,one_time,P0012,car_accessories,unknown,unknown,0,0
A_C0129,A_U0027,2025-08-13 22:59:00,2025-08-14 01:51:00,172,0,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0130,A_U0092,2025-09-03 14:46:00,2025-09-03 23:45:00,539,0,product_page,one_time,P0030,other_accessories,protection_accessories,unknown,0,1
A_C0131,A_U0175,2025-06-18 22:27:00,2025-06-18 22:38:00,11,1,product_page,lead,P0022,earphones,unknown,unknown,0,0
A_C0132,A_U0013,2025-10-07 22:01:00,2025-10-07 23:43:00,102,0,product_page,two_times,P0038,other_accessories,phone_cases,all_phone_cases,0,0
A_C0133,A_U0231,2025-12-11 14:18:00,2025-12-11 15:18:00,60,1,general_contact,lead,P0010,car_accessories,unknown,unknown,0,1
A_C0134,A_U0352,2025-03-27 10:24:00,2025-03-27 14:21:00,237,1,product_page,two_times,P0012,car_accessories,unknown,unknown,1,0
A_C0135,A_U0210,2025-04-11 10:09:00,2025-04-11 21:34:00,685,0,product_page,one_time,P0052,other_accessories,phone_cases,cars,0,0
A_C0136,A_U0033,2025-10-19 13:13:00,2025-10-19 13:18:00,5,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0137,A_U0038,2025-08-04 18:46:00,2025-08-05 06:39:00,713,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0138,A_U0177,2025-02-13 17:33:00,2025-02-14 05:29:00,716,1,product_page,vip,P0017,kits_and_bundles,unknown,unknown,0,0
A_C0139,A_U0091,2025-12-02 14:47:00,2025-12-02 14:57:00,10,1,general_contact,lead,unknown,unknown,unknown,unknown,1,1
A_C0140,A_U0351,2025-09-22 21:47:00,2025-09-23 16:42:00,1135,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,1
A_C0141,A_U0006,2025-07-23 11:04:00,2025-07-23 14:23:00,199,1,general_contact,one_time,P0016,cameras_and_accessories,unknown,unknown,0,0
A_C0142,A_U0095,2025-09-26 09:42:00,2025-09-26 19:46:00,604,0,general_contact,lead,P0013,cameras_and_accessories,unknown,unknown,1,1
A_C0143,A_U0333,2025-05-12 15:15:00,2025-05-12 17:08:00,113,0,product_page,one_time,P0012,car_accessories,unknown,unknown,0,0
A_C0144,A_U0080,2025-04-24 17:08:00,2025-04-27 08:38:00,3810,0,product_page,lead,P0032,other_accessories,protection_accessories,unknown,0,0
A_C0145,A_U0322,2025-09-08 09:25:00,2025-09-11 23:31:00,5166,0,product_page,lead,P0024,earphones,unknown,unknown,0,1
A_C0146,A_U0162,2025-09-22 18:34:00,2025-09-23 12:58:00,1104,1,general_contact,vip,unknown,unknown,unknown,unknown,0,1
A_C0147,A_U0307,2025-11-18 15:30:00,2025-11-18 19:10:00,220,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,1
A_C0148,A_U0160,2025-09-09 19:25:00,2025-09-10 15:06:00,1181,0,general_contact,lead,unknown,unknown,unknown,unknown,0,1
A_C0149,A_U0131,2025-10-14 12:18:00,2025-10-18 10:24:00,5646,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0150,A_U0342,2025-11-23 12:28:00,2025-11-23 12:37:00,9,1,general_contact,one_time,unknown,unknown,unknown,unknown,0,1
A_C0151,A_U0180,2025-06-06 21:29:00,2025-06-08 06:36:00,1987,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0152,A_U0106,2025-11-22 12:26:00,2025-11-22 21:58:00,572,1,general_contact,vip,unknown,unknown,unknown,unknown,0,1
A_C0153,A_U0276,2025-05-07 09:42:00,2025-05-07 12:31:00,169,1,product_page,one_time,P0017,kits_and_bundles,unknown,unknown,0,0
A_C0154,A_U0091,2025-02-17 12:00:00,2025-02-17 13:10:00,70,1,product_page,two_times,P0047,other_accessories,phone_cases,personalized_cases,0,0
A_C0155,A_U0145,2025-03-23 16:42:00,2025-03-23 16:53:00,11,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,0
A_C0156,A_U0038,2025-02-04 13:19:00,2025-02-04 13:58:00,39,1,general_contact,lead,P0009,car_accessories,unknown,unknown,0,0
A_C0157,A_U0116,2025-07-24 15:44:00,2025-07-24 16:52:00,68,1,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0158,A_U0056,2025-09-27 09:50:00,2025-09-27 22:35:00,765,0,product_page,one_time,P0046,other_accessories,phone_cases,personalized_cases,1,1
A_C0159,A_U0114,2025-10-27 19:59:00,2025-10-27 21:09:00,70,1,product_page,two_times,P0014,cameras_and_accessories,unknown,unknown,1,0
A_C0160,A_U0141,2025-11-22 08:40:00,2025-11-22 09:01:00,21,0,product_page,lead,P0049,other_accessories,phone_cases,cars,0,1
A_C0161,A_U0026,2025-07-04 12:16:00,2025-07-04 12:34:00,18,0,product_page,lead,P0027,other_accessories,airpods_cases,unknown,0,0
A_C0162,A_U0068,2025-12-10 10:35:00,2025-12-13 01:58:00,3803,0,general_contact,lead,P0037,other_accessories,phone_cases,all_phone_cases,0,1
A_C0163,A_U0099,2025-08-06 17:41:00,2025-08-06 18:31:00,50,1,product_page,vip,P0013,cameras_and_accessories,unknown,unknown,0,0
A_C0164,A_U0263,2025-12-10 08:54:00,2025-12-10 09:17:00,23,1,product_page,lead,P0002,retro_consoles,caseover_console,unknown,0,1
A_C0165,A_U0311,2025-11-18 20:11:00,2025-11-22 15:00:00,5449,0,product_page,vip,P0024,earphones,unknown,unknown,0,1
A_C0166,A_U0096,2025-10-16 21:10:00,2025-10-17 05:49:00,519,1,product_page,lead,P0040,other_accessories,phone_cases,all_phone_cases,0,0
A_C0167,A_U0016,2025-11-04 21:54:00,2025-11-04 22:11:00,17,0,product_page,lead,P0024,earphones,unknown,unknown,0,1
A_C0168,A_U0024,2025-09-08 09:17:00,2025-09-08 19:07:00,590,1,general_contact,lead,unknown,unknown,unknown,unknown,0,1
A_C0169,A_U0200,2025-12-20 14:20:00,2025-12-20 14:52:00,32,1,general_contact,lead,unknown,unknown,unknown,unknown,0,1
A_C0170,A_U0317,2025-01-19 16:19:00,2025-01-20 05:25:00,786,0,general_contact,lead,P0030,other_accessories,protection_accessories,unknown,0,0
A_C0171,A_U0126,2025-06-25 17:55:00,2025-06-28 03:17:00,3442,0,general_contact,lead,P0010,car_accessories,unknown,unknown,1,0
A_C0172,A_U0220,2025-11-05 16:47:00,2025-11-05 17:46:00,59,1,product_page,vip,P0006,retro_consoles,caseover_projector,unknown,0,1
A_C0173,A_U0035,2025-08-28 08:18:00,2025-08-28 08:40:00,22,1,product_page,lead,P0020,kits_and_bundles,unknown,unknown,1,0
A_C0174,A_U0273,2025-06-24 15:12:00,2025-06-28 13:16:00,5644,0,product_page,one_time,P0029,other_accessories,protection_accessories,unknown,0,0
A_C0175,A_U0269,2025-11-02 10:14:00,2025-11-02 13:40:00,206,1,general_contact,vip,P0026,other_accessories,airpods_cases,unknown,1,1
A_C0176,A_U0348,2025-10-11 09:59:00,2025-10-11 14:54:00,295,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0177,A_U0078,2025-10-25 14:33:00,2025-10-25 16:43:00,130,1,product_page,lead,P0022,earphones,unknown,unknown,1,0
A_C0178,A_U0015,2025-11-11 20:58:00,2025-11-11 22:47:00,109,1,general_contact,vip,P0056,other_accessories,phone_cases,men,0,1
A_C0179,A_U0103,2025-08-12 17:36:00,2025-08-12 22:22:00,286,1,product_page,vip,P0033,other_accessories,chargers_and_others,unknown,0,0
A_C0180,A_U0291,2025-11-01 12:05:00,2025-11-01 22:48:00,643,1,general_contact,two_times,unknown,unknown,unknown,unknown,1,1
A_C0181,A_U0279,2025-09-25 16:23:00,2025-09-26 03:22:00,659,0,general_contact,one_time,P0004,retro_consoles,caseover_console,unknown,1,1
A_C0182,A_U0158,2025-03-27 15:38:00,2025-03-28 11:11:00,1173,0,general_contact,lead,unknown,unknown,unknown,unknown,1,0
A_C0183,A_U0272,2025-02-08 11:42:00,2025-02-11 09:12:00,4170,0,product_page,vip,P0023,earphones,unknown,unknown,0,0
A_C0184,A_U0029,2025-12-02 08:50:00,2025-12-02 12:44:00,234,0,product_page,lead,P0012,car_accessories,unknown,unknown,1,1
A_C0185,A_U0275,2025-01-06 08:07:00,2025-01-06 08:43:00,36,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0186,A_U0343,2025-03-21 10:54:00,2025-03-22 10:57:00,1443,0,product_page,one_time,P0018,kits_and_bundles,unknown,unknown,0,0
A_C0187,A_U0036,2025-10-21 12:57:00,2025-10-21 14:34:00,97,1,product_page,lead,P0023,earphones,unknown,unknown,0,0
A_C0188,A_U0169,2025-12-28 13:04:00,2025-12-28 17:18:00,254,1,product_page,vip,P0035,other_accessories,chargers_and_others,unknown,1,1
