response_time_min,converted,platform_email,platform_instagram,platform_website,platform_whatsapp,contact_reason_complaint,contact_reason_customization_request,contact_reason_order_status,contact_reason_other,contact_reason_price_question,contact_reason_product_question,contact_reason_return_or_exchange,contact_reason_shipping_question,contact_reason_stock_availability,contact_reason_warranty_or_issue,customer_type_first_time_customer,customer_type_lead,customer_type_returning_customer,customer_type_vip_customer
1112,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
259,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
23,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
19,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1352,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
681,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
28,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
176,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
117,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
283,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
135,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
619,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
175,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
17,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
8,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2274,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
333,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
91,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
38,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
286,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
61,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
48,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
141,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
247,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
462,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
52,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
232,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
19,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
36,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
58,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1101,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
77,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
24,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
991,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
13,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
28,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
34,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
17,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
95,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
38,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
82,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
246,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
50,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
20,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
27,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
8,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
6,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
46,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
143,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
15,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
83,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
4,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
7,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
705,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
13,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
19,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
542,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
233,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
164,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
326,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
396,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
684,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1198,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
515,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
40,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
417,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
36,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
156,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
402,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
108,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
132,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
791,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
17,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
8,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
60,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
286,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
5,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
123,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
507,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
247,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
500,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
173,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
288,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
17,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
356,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
27,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
246,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
123,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
59,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
10,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
103,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
534,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
31,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
19,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
531,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
10,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
19,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
32,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
791,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
29,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
10,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
305,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
174,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
459,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
323,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1350,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
552,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
88,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
42,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
494,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
53,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
50,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
57,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
714,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
561,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
15,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
57,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
17,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
113,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
557,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
54,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
37,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
32,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
432,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
16,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
689,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
308,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
20,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
85,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
26,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
107,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
8,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
35,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
627,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
975,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
15,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
545,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
579,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
42,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
885,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
491,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
117,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
367,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
310,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1128,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
101,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
70,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
11,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
131,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
201,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
153,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
29,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
35,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2612,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
14,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
63,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
695,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1243,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
85,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
39,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
104,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
476,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
381,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
388,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
213,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
713,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
117,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
15,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
171,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
61,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
5,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
115,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
27,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
429,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
162,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
170,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
974,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
59,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
15,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
30,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
30,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
517,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
6,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
244,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
346,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
37,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
29,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
109,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
256,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
38,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
9,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
62,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
328,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
917,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
285,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
72,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1420,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
27,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1354,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
345,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1290,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
32,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
7,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
23,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
150,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
570,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2635,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
170,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
68,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
138,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
58,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1335,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
57,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
14,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
10,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
256,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
261,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
720,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
320,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
120,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
601,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
50,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
15,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
163,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
384,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
40,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
144,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
42,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
325,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
4,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
60,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
117,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
82,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
190,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
408,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2335,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
41,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
425,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1311,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
254,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
82,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
583,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
21,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
84,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
43,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
160,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
27,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
236,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
668,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
20,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
13,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
8,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
524,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
13,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
5,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1594,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
28,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
597,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
25,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2451,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
11,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2637,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
30,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
172,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
91,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
73,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
108,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
39,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
189,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
39,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1163,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
58,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
42,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
79,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1375,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
381,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
508,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
13,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
24,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
198,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
142,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
296,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
62,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
239,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
